country,region,employees,income,birth,urban,young labor,old labour,family,friend,leisure,politics,work,religion,happiness,health,satisfication,freedom
Argentina,south_america,0.75,7279,0.19,0.92,0.81,0.18,0.91,0.59,0.4,0.08,0.7,0.33,0.32,0.33,0.37,0.42
Australia,oceania,0.88,22236,0.14,0.89,0.82,0.08,0.94,0.58,0.45,0.1,0.34,0.2,0.35,0.26,0.21,0.34
Canada,north_america,0.85,23910,0.11,0.8,0.87,0.08,0.92,0.63,0.41,0.12,0.48,0.32,0.46,0.42,0.32,0.32
Chile,south_america,0.71,5312,0.15,0.88,0.74,0.15,0.9,0.24,0.47,0.06,0.62,0.4,0.3,0.17,0.28,0.28
Egypt,africa,0.61,1500,0.26,0.43,0.63,0.09,0.98,0.54,0.45,0.03,0.37,0.15,0.22,0.16,0.37,0.28
Finland,europe,0.87,24153,0.11,0.83,0.88,0.05,0.85,0.55,0.36,0.12,0.65,0.13,0.36,0.29,0.21,0.16
France,europe,0.89,21931,0.13,0.83,0.87,0.01,0.88,0.48,0.32,0.08,0.48,0.1,0.17,0.24,0.22,0.2
Germany,europe,0.88,23037,0.08,0.74,0.87,0.03,0.79,0.33,0.24,0.04,0.26,0.05,0.07,0.05,0.12,0.13
HongKong,asia,0.88,26246,0.09,1,0.82,0.05,0.55,0.42,0.38,0.07,0.56,0.16,0.17,0.17,0.13,0.14
Hungary,europe,0.87,4855,0.1,0.67,0.79,0.03,0.89,0.41,0.28,0.1,0.63,0.34,0.18,0.18,0.22,0.12
Italy,europe,0.74,19491,0.09,0.68,0.78,0.03,0.92,0.45,0.4,0.2,0.47,0.06,0.28,0.14,0.19,0.08
Japan,asia,0.86,37539,0.09,0.88,0.83,0.19,0.91,0.45,0.24,0.18,0.62,0.21,0.13,0.13,0.12,0.16
Malaysia,asia,0.75,4057,0.17,0.69,0.76,0.25,0.96,0.43,0.39,0.13,0.7,0.85,0.36,0.28,0.15,0.22
Mexico,north_america,0.65,5727,0.21,0.77,0.72,0.28,0.95,0.36,0.55,0.2,0.85,0.59,0.58,0.22,0.52,0.58
NewZealand,oceania,0.82,13974,0.15,0.86,0.84,0.13,0.93,0.55,0.48,0.06,0.35,0.17,0.38,0.36,0.44,0.41
Norway,europe,0.92,38131,0.12,0.78,0.87,0.14,0.9,0.65,0.51,0.09,0.57,0.12,0.39,0.39,0.41,0.29
Poland,europe,0.75,6333,0.1,0.61,0.82,0.05,0.89,0.37,0.34,0.06,0.58,0.38,0.22,0.18,0.25,0.18
Romania,europe,0.66,1847,0.1,0.53,0.78,0.14,0.85,0.26,0.3,0.05,0.55,0.57,0.1,0.12,0.19,0.41
SouthKorea,asia,0.67,12025,0.1,0.82,0.76,0.3,0.92,0.22,0.07,0.23,0.41,0.07,0.23,0.1,0.23,0.27
Spain,europe,0.82,14759,0.11,0.77,0.82,0.02,0.86,0.45,0.42,0.06,0.57,0.15,0.22,0.25,0.22,0.16
Sweden,europe,0.9,28540,0.12,0.85,0.89,0.1,0.92,0.62,0.53,0.11,0.49,0.09,0.36,0.31,0.35,0.34
Switzerland,europe,0.84,35519,0.1,0.74,0.88,0.08,0.85,0.61,0.45,0.12,0.59,0.17,0.42,0.35,0.4,0.26
Thailand,asia,0.44,2045,0.12,0.33,0.89,0.34,0.89,0.33,0.26,0.31,0.67,0.56,0.4,0.22,0.21,0.16
Turkey,asia,0.56,4158,0.19,0.68,0.59,0.14,0.97,0.69,0.5,0.17,0.73,0.78,0.31,0.15,0.29,0.34
UnitedKingdom,europe,0.87,25990,0.12,0.79,0.84,0.07,0.91,0.43,0.13,0.09,0.63,0.95,0.1,0.15,0.16,0.29
UnitedStates,north_america,0.93,35439,0.14,0.81,0.83,0.15,0.94,0.65,0.48,0.09,0.39,0.18,0.46,0.34,0.3,0.26
Vietnam,asia,0.26,440,0.17,0.29,0.92,0.14,0.81,0.6,0.37,0.11,0.32,0.47,0.34,0.29,0.23,0.23
Zambia,africa,0.19,330,0.43,0.37,0.79,0.63,0.91,0.48,0.33,0.21,0.76,0.78,0.18,0.28,0.16,0.34
low,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,none,1,40000,1,1,1,1,1,1,1,1,1,1,1,1,1,1